Time,X,Y,P
0,-0.255364763551891,0.37470608521181,0.036
0.005,-0.255364763551891,0.385827498699832,0.101
0.005,-0.255364763551891,0.385827498699832,0.101
0.021,-0.272046883783925,0.408070325675875,0.247
0.036,-0.272046883783925,0.37470608521181,0.476
0.054,-0.272046883783925,0.241249123355549,0.659
0.071,-0.272046883783925,0.0521850940591792,0.849
0.087,-0.272046883783925,-0.103514694773125,0.974
0.103,-0.272046883783925,-0.214728829653342,1
0.12,-0.272046883783925,-0.314821551045538,1
0.137,-0.255364763551891,-0.359307204997625,1
0.153,-0.255364763551891,-0.348185791509603,1
0.171,-0.238682643319858,-0.270335897093451,1
0.187,-0.238682643319858,-0.170243175701255,1
0.204,-0.222000523087827,-0.00342197338092953,0.997
0.221,-0.171954162391728,0.219006296379505,0.966
0.237,-0.138589921927664,0.385827498699832,0.96
0.255,-0.105225681463597,0.474798806604006,0.985
0.271,-0.0885435612315664,0.474798806604006,1
0.288,-0.0718614409995331,0.396948912187853,1
0.304,-0.0384972005354667,0.252370536843571,1
0.321,-0.00513296007140263,0.0855493345232445,1
0.337,0.0115491601606306,-0.0590290408210377,1
0.355,0.0282312803926639,-0.192486002677299,1
0.37,0.0282312803926639,-0.314821551045538,1
0.387,0.0449134006246946,-0.370428618485647,1
0.404,0.0615955208567279,-0.359307204997625,1
0.421,0.0949597613207944,-0.259214483605429,1
0.437,0.128324001784858,-0.114636108261146,1
0.454,0.178370362480956,0.0744279210352227,0.94
0.471,0.245098843409089,0.241249123355549,0.899
0.488,0.295145204105186,0.296856190795658,0.913
0.504,0.32850944456925,0.230127709867527,1
0.52,0.361873685033316,0.0966707480112662,1
0.537,0.411920045729414,-0.103514694773125,1
0.554,0.478648526657544,-0.281457310581473,1
0.571,0.545377007585675,-0.437157099413777,0.718
0.588,0.612105488513805,-0.559492647782016,0.2
0.599,0.645469728977872,-0.615099715222125,0.007
0.6,NaN,NaN,NaN
