Time,X,Y,P
0,-0.249502758535083,-0.494812193397313,0.001
0.009,-0.249502758535083,-0.525563233664942,0.099
0.009,-0.249502758535083,-0.525563233664942,0.099
0.025,-0.203376198133639,-0.556314273932572,0.202
0.042,-0.157249637732195,-0.587065314200201,0.349
0.059,-0.0188699565278621,-0.525563233664942,0.454
0.075,0.119509724676471,-0.371808032326795,0.536
0.092,0.257889405880803,-0.156550750453388,0.61
0.108,0.304015966282248,-0.0027955491152406,0.673
0.126,0.350142526683692,0.150959652222907,0.792
0.143,0.350142526683692,0.304714853561054,0.878
0.159,0.350142526683692,0.489221095166831,0.954
0.175,0.350142526683692,0.673727336772608,1
0.193,0.257889405880803,0.827482538110756,1
0.21,0.165636285077915,0.858233578378385,1
0.225,-0.0188699565278621,0.827482538110756,1
0.243,-0.157249637732195,0.642976296504979,1
0.259,-0.295629318936526,0.335465893828684,1
0.275,-0.341755879337972,0.0279554911523889,0.993
0.293,-0.295629318936526,-0.310305951791536,0.593
0.31,-0.157249637732195,-0.525563233664942,0.093
0.312,-0.111123077330751,-0.556314273932572,0.038
0.313,NaN,NaN,NaN
