Time,X,Y,P
0,0.306356718931016,0.429046340181562,0.042
0.006,0.282112662037194,0.461371749373323,0.196
0.006,0.282112662037194,0.461371749373323,0.196
0.026,0.233624548249552,0.493697158565085,0.521
0.052,0.0881602068866236,0.477534453969204,0.806
0.053,0.0639161499928022,0.477534453969204,0.821
0.068,-0.0330600775824832,0.380558226393919,0.868
0.094,-0.202768475839233,0.105792248263944,0.89
0.11,-0.299744703414518,-0.152811025270151,0.894
0.132,-0.396720930989803,-0.459902412591888,0.896
0.153,-0.396720930989803,-0.68618027693422,0.909
0.173,-0.323988760308339,-0.86397002748891,0.913
0.194,-0.202768475839233,-0.912458141276553,0.921
0.214,-0.0573041344763045,-0.880132732084791,0.921
0.235,0.136648320674266,-0.702342981530101,0.925
0.256,0.257868605143373,-0.459902412591888,0.927
0.277,0.282112662037194,-0.152811025270151,0.964
0.302,0.233624548249552,0.202768475839229,1
0.318,0.136648320674266,0.412883635585681,1
0.339,-0.00881602068866182,0.509859863160966,1
0.362,-0.130036305157769,0.477534453969204,0.548
0.381,-0.251256589626875,0.380558226393919,0.017
0.382,NaN,NaN,NaN
