Time,X,Y,P
0,0.0101541710925187,0.854796584697611,0.007
0.002,0.0101541710925187,0.886797608746766,0.067
0.002,0.0101541710925187,0.886797608746766,0.067
0.023,0.0581557071662488,0.950799656845073,0.37
0.039,0.0581557071662488,0.966800168869651,0.47
0.055,0.034154939129382,0.934799144820496,0.692
0.071,-0.0138465969443482,0.790794536599302,0.817
0.088,-0.0618481330180783,0.502785320156911,0.907
0.089,-0.0618481330180783,0.454783784083179,0.927
0.104,-0.133850437128679,0.0867720075179007,1
0.121,-0.157851205165546,-0.361242329170264,1
0.139,-0.157851205165546,-0.697253081686387,1
0.156,-0.109849669091812,-0.889259225981315,1
0.171,-0.0138465969443482,-1.00126281015336,1
0.188,0.106157243239983,-1.01726332217793,0.937
0.205,0.202160315387446,-0.969261786104201,0.628
0.223,0.22616108342431,-0.873258713956737,0.249
0.232,0.22616108342431,-0.825257177883006,0.034
0.233,NaN,NaN,NaN
0.341,-0.181851973202409,-0.121234648801604,0.013
0.355,-0.181851973202409,-0.105234136777027,0.374
0.355,-0.181851973202409,-0.105234136777027,0.374
0.371,-0.181851973202409,-0.105234136777027,0.558
0.388,-0.0858489010549452,-0.0732331127278723,0.731
0.406,0.0581557071662488,-0.057232600703295,0.772
0.421,0.202160315387446,-0.057232600703295,0.476
0.436,0.322164155571777,-0.057232600703295,0.03
0.438,NaN,NaN,NaN
