Time,X,Y,P
0,-0.192425354070373,0.908876986835538,0.054
0.032,-0.223286024062792,0.950024546825429,0.569
0.032,-0.223286024062792,0.950024546825429,0.569
0.061,-0.223286024062792,0.620844066906301,1
0.089,-0.25414669405521,-0.0580906729269045,1
0.107,-0.285007364047629,-0.346123592856143,1
0.138,-0.285007364047629,-0.572435172800544,1
0.158,-0.25414669405521,-0.469566272825817,1
0.169,-0.223286024062792,-0.325549812861197,1
0.212,-0.00726133411586306,0.25051602699728,1
0.233,0.147042015846229,0.25051602699728,1
0.253,0.239624025823484,0.0653520070427692,1
0.274,0.332206035800739,-0.243254692881415,1
0.295,0.363066705793158,-0.469566272825817,1
0.317,0.363066705793158,-0.593008952795489,1
0.339,0.363066705793158,-0.490140052820762,0.138
0.349,0.363066705793158,-0.428418712835926,0.019
0.35,NaN,NaN,NaN
