Time,X,Y,P
0,-0.204222104724288,0.204035600519063,0.009
0.009,-0.204222104724288,0.21783691170591,0.075
0.009,-0.204222104724288,0.21783691170591,0.075
0.03,-0.245626038284829,0.231638222892757,0.157
0.048,-0.245626038284829,0.259240845266451,0.233
0.059,-0.266328005065101,0.273042156453298,0.292
0.076,-0.266328005065101,0.300644778826992,0.337
0.094,-0.266328005065101,0.328247401200686,0.384
0.109,-0.266328005065101,0.342048712387534,0.399
0.126,-0.266328005065101,0.355850023574381,0.462
0.147,-0.266328005065101,0.355850023574381,0.577
0.163,-0.245626038284829,0.342048712387534,0.604
0.201,-0.22492407150456,0.0660224886505915,0.618
0.21,-0.204222104724288,-0.0443880008441853,0.618
0.225,-0.183520137944018,-0.251407668646892,0.62
0.242,-0.142116204383477,-0.486029958823292,0.636
0.264,-0.100712270822936,-0.651645693065457,0.657
0.275,-0.0800103040426642,-0.693049626625998,0.659
0.292,-0.0386063704821229,-0.679248315439151,0.673
0.31,0.00279756307841837,-0.582639137131221,0.679
0.326,0.0442014966389597,-0.348016846954821,0.683
0.344,0.0442014966389597,-0.113394556778421,0.683
0.36,0.0442014966389597,0.0246185550900502,0.677
0.376,0.0442014966389597,0.0522211774637444,0.673
0.392,0.0442014966389597,-0.0167853784704911,0.669
0.412,0.0649034634192295,-0.154798490338962,0.671
0.428,0.106307396979771,-0.320414224581127,0.685
0.442,0.168413297320582,-0.417023402889056,0.72
0.459,0.209817230881123,-0.472228647636445,0.759
0.476,0.292625098002206,-0.430824714075903,0.782
0.495,0.354730998343019,-0.292811602207433,0.821
0.512,0.375432965123288,-0.0719906232178795,0.87
0.528,0.396134931903558,0.148830355771674,0.89
0.544,0.396134931903558,0.355850023574381,0.876
0.561,0.41683689868383,0.576671002563933,0.616
0.577,0.458240832244371,0.68708149205871,0.071
0.583,0.458240832244371,0.68708149205871,0.019
0.584,NaN,NaN,NaN
