Time,X,Y,P
0,-0.103523300346982,0.450827275704608,0.009
0.011,-0.103523300346982,0.450827275704608,0.288
0.011,-0.103523300346982,0.450827275704608,0.288
0.037,-0.0684589566810664,0.450827275704608,0.571
0.055,-0.0684589566810664,0.427451046593999,0.618
0.072,-0.0684589566810664,0.333946130151562,0.647
0.09,-0.103523300346982,0.14693629726669,0.72
0.105,-0.138587644012894,-0.15695468117123,0.835
0.123,-0.173651987678807,-0.507598117830368,0.962
0.138,-0.173651987678807,-0.788112867157679,1
0.155,-0.173651987678807,-0.975122700042553,1
0.173,-0.173651987678807,-0.951746470931944,1
0.188,-0.173651987678807,-0.788112867157679,1
0.205,-0.138587644012894,-0.46084565960915,1
0.222,-0.0684589566810664,-0.0166973065075743,1
0.238,0.00166973065076133,0.240441213709125,1
0.255,0.106862761648504,0.38069858837278,1
0.272,0.24712013631216,0.38069858837278,1
0.289,0.422441854641728,0.333946130151562,0.894
0.305,0.527634885639471,0.287193671930343,0.222
0.317,0.527634885639471,0.310569901040953,0.142
0.318,NaN,NaN,NaN
