Time,X,Y,P
0,-0.167053628173031,0.691224654313753,0.003
0.002,-0.167053628173031,0.716075607265113,0.058
0.002,-0.167053628173031,0.716075607265113,0.058
0.019,-0.185691842886551,0.765777513167833,0.188
0.036,-0.204330057600071,0.840330372021913,0.415
0.053,-0.222968272313591,0.852755848497593,0.487
0.068,-0.222968272313591,0.827904895546233,0.64
0.086,-0.204330057600071,0.691224654313753,0.794
0.102,-0.185691842886551,0.479991554227193,0.897
0.118,-0.185691842886551,0.243907501189273,0.976
0.136,-0.167053628173031,-0.0667294107027256,1
0.152,-0.167053628173031,-0.302813463740645,1
0.168,-0.167053628173031,-0.526472040302885,1
0.186,-0.167053628173031,-0.675577758011044,1
0.202,-0.148415413459511,-0.725279663913764,1
0.218,-0.148415413459511,-0.663152281535364,1
0.236,-0.0925007693189511,-0.476770134400165,1
0.253,-0.0179479104648714,-0.228260604886565,1
0.27,0.112519592529768,-0.0543039342270457,1
0.286,0.224348880810888,-0.0170275048000057,1
0.302,0.317539954378488,-0.0791548871784056,1
0.319,0.373454598519048,-0.253111557837925,1
0.336,0.410731027946088,-0.427068228497445,1
0.353,0.410731027946088,-0.551322993254245,1
0.37,0.392092813232568,-0.601024899156964,0.901
0.385,0.373454598519048,-0.601024899156964,0.151
0.392,0.373454598519048,-0.576173946205604,0.03
0.393,NaN,NaN,NaN
