Time,X,Y,P
0,0.1156101922056,0.287690049250898,0.015
0.016,0.0789812204176873,0.312109363776173,0.104
0.016,0.0789812204176873,0.312109363776173,0.104
0.034,0.0789812204176873,0.336528678301448,0.128
0.047,0.0789812204176873,0.336528678301448,0.12
0.063,0.0789812204176873,0.360947992826723,0.118
0.076,0.0423522486297744,0.360947992826723,0.116
0.104,0.0423522486297744,0.360947992826723,0.124
0.172,0.0423522486297744,0.385367307351999,0.218
0.404,0.00572327684186159,0.385367307351999,0.808
0.469,0.00572327684186159,0.385367307351999,0.929
0.492,-0.0309056949460512,0.385367307351999,0.978
0.509,-0.0675346667339641,0.385367307351999,1
0.527,-0.0675346667339641,0.360947992826723,1
0.544,-0.104163638521877,0.360947992826723,1
0.561,-0.14079261030979,0.336528678301448,1
0.577,-0.14079261030979,0.336528678301448,1
0.594,-0.214050553885615,0.312109363776173,1
0.61,-0.250679525673528,0.287690049250898,1
0.629,-0.287308497461441,0.238851420200347,1
0.642,-0.323937469249354,0.190012791149797,1
0.658,-0.360566441037267,0.141174162099246,1
0.676,-0.397195412825179,0.0434969039981454,1
0.695,-0.433824384613092,-0.0297610395776803,1
0.713,-0.470453356401005,-0.151857612204056,1
0.725,-0.470453356401005,-0.200696241254607,1
0.741,-0.470453356401005,-0.322792813880983,1
0.761,-0.470453356401005,-0.444889386507359,1
0.779,-0.433824384613092,-0.49372801555791,1
0.791,-0.397195412825179,-0.518147330083185,1
0.808,-0.360566441037267,-0.518147330083185,1
0.825,-0.287308497461441,-0.49372801555791,1
0.845,-0.214050553885615,-0.371631442931533,1
0.861,-0.14079261030979,-0.273954184830432,1
0.875,-0.104163638521877,-0.176276926729332,1
0.891,-0.0309056949460512,-0.0785996686282307,1
0.908,0.00572327684186159,0.0434969039981454,1
0.925,0.0423522486297744,0.165593476624522,1
0.941,0.0789812204176873,0.238851420200347,1
0.961,0.0789812204176873,0.336528678301448,1
0.975,0.1156101922056,0.360947992826723,1
0.991,0.1156101922056,0.385367307351999,1
1.044,0.1156101922056,0.360947992826723,1
1.065,0.1156101922056,0.336528678301448,1
1.083,0.1156101922056,0.312109363776173,1
1.102,0.1156101922056,0.287690049250898,1
1.115,0.1156101922056,0.238851420200347,1
1.126,0.1156101922056,0.214432105675072,1
1.141,0.1156101922056,0.165593476624522,1
1.161,0.1156101922056,0.0679162185234206,1
1.175,0.1156101922056,-0.0297610395776803,1
1.195,0.152239163993513,-0.176276926729332,1
1.208,0.188868135781426,-0.298373499355708,1
1.224,0.225497107569339,-0.371631442931533,1
1.242,0.262126079357251,-0.469308701032634,1
1.257,0.298755051145164,-0.566985959133735,1
1.275,0.37201299472099,-0.615824588184286,1
1.291,0.408641966508903,-0.664663217234836,1
1.308,0.408641966508903,-0.664663217234836,1
1.336,0.408641966508903,-0.640243902709561,1
1.358,0.445270938296816,-0.615824588184286,1
1.375,0.445270938296816,-0.59140527365901,0.995
1.392,0.445270938296816,-0.49372801555791,0.29
1.401,0.481899910084728,-0.444889386507359,0.005
1.402,NaN,NaN,NaN
