Time,X,Y,P
0,-0.215606120608829,0.280583307641624,0.011
0.024,-0.190501298346158,0.280583307641624,0.802
0.024,-0.190501298346158,0.280583307641624,0.802
0.042,-0.190501298346158,0.230373663116281,1
0.059,-0.165396476083488,0.0797447295402505,1
0.074,-0.140291653820815,-0.104357300386009,1
0.092,-0.140291653820815,-0.372142071187841,1
0.108,-0.115186831558142,-0.539507552938985,1
0.126,-0.115186831558142,-0.639926841989672,1
0.141,-0.115186831558142,-0.606453745639443,1
0.158,-0.140291653820815,-0.422351715713184,1
0.176,-0.0900820092954715,-0.137830396736238,1
0.193,0.0354421020178862,0.096481277715365,1
0.208,0.186071035593918,0.280583307641624,1
0.225,0.36180479143262,0.364266048517197,1
0.241,0.562643369533993,0.431212241217653,0.632
0.258,0.66306265858468,0.498158433918111,0.03
0.263,NaN,NaN,NaN
