Time,X,Y,P
0,0.435628467818548,0.396802401168052,0.036
0.001,0.435628467818548,0.396802401168052,0.103
0.001,0.435628467818548,0.396802401168052,0.103
0.011,0.46241845380739,0.396802401168052,0.208
0.035,0.435628467818548,0.396802401168052,0.364
0.051,0.355258509852026,0.41466239182728,0.431
0.071,0.2748885518855,0.41466239182728,0.472
0.093,0.0605686639747728,0.396802401168052,0.554
0.113,-0.0733812659694291,0.378942410508825,0.604
0.135,-0.260911167891315,0.325362438531143,0.688
0.155,-0.314491139868999,0.253922475894234,0.745
0.176,-0.314491139868999,0.14676253193887,0.8
0.197,-0.234121181902477,0.0217425973242789,0.845
0.219,-0.100171251958271,-0.103277337290312,0.89
0.24,0.0605686639747728,-0.228297271904903,0.94
0.261,0.140938621941299,-0.335457215860267,0.972
0.282,0.140938621941299,-0.424757169156404,0.997
0.301,0.0605686639747728,-0.496197131793313,1
0.324,-0.100171251958271,-0.549777103770995,1
0.343,-0.287701153880157,-0.567637094430222,0.921
0.366,-0.502021041790884,-0.567637094430222,0.528
0.385,-0.555601013768568,-0.549777103770995,0.298
0.39,-0.555601013768568,-0.51405712245254,0.015
0.391,NaN,NaN,NaN
