Time,X,Y,P
0,0.0644280451892284,0.181145518358123,0.013
0.015,0.0896390193937089,0.214760150630764,0.103
0.015,0.0896390193937089,0.214760150630764,0.103
0.033,0.0896390193937089,0.248374782903404,0.163
0.046,0.0896390193937089,0.281989415176045,0.171
0.061,0.0896390193937089,0.315604047448686,0.212
0.079,0.0896390193937089,0.349218679721327,0.271
0.096,0.0644280451892284,0.399640628130288,0.333
0.111,0.0140060967802673,0.399640628130288,0.386
0.128,-0.0868378000376544,0.399640628130288,0.462
0.145,-0.162470722651096,0.332411363585006,0.521
0.164,-0.238103645264538,0.248374782903404,0.556
0.178,-0.313736567877979,0.181145518358123,0.581
0.195,-0.389369490491421,0.0130723569949194,0.628
0.211,-0.439791438900382,-0.222230068913566,0.657
0.23,-0.465002413104862,-0.44072517868573,0.663
0.243,-0.465002413104862,-0.541569075503653,0.673
0.264,-0.389369490491421,-0.591991023912614,0.704
0.28,-0.288525593673499,-0.541569075503653,0.731
0.299,-0.162470722651096,-0.390303230276769,0.747
0.313,-0.0616268258331739,-0.222230068913566,0.761
0.329,0.0392170709847478,-0.0541569075503621,0.774
0.343,0.114849993598189,0.113916253812842,0.79
0.364,0.14006096780267,0.281989415176045,0.911
0.381,0.165271942007151,0.332411363585006,0.978
0.397,0.165271942007151,0.349218679721327,1
0.415,0.14006096780267,0.332411363585006,1
0.428,0.14006096780267,0.248374782903404,1
0.444,0.114849993598189,0.0971089376765212,1
0.463,0.0896390193937089,-0.155000804368284,1
0.479,0.0896390193937089,-0.373495914140449,1
0.496,0.114849993598189,-0.474339810958371,1
0.511,0.190482916211631,-0.474339810958371,1
0.527,0.291326813029553,-0.44072517868573,0.964
0.547,0.442592658256437,-0.339881281867808,0.263
0.556,0.543436555074359,-0.272652017322527,0.042
0.558,NaN,NaN,NaN
