Time,X,Y,P
0,0.258258515852475,0.820179646687611,0.044
0.022,0.258258515852475,0.83252956165102,0.714
0.022,0.258258515852475,0.83252956165102,0.714
0.039,0.202683898517133,0.807829731724201,0.911
0.06,0.0915346638464457,0.684330582090106,1
0.081,-0.038139443269354,0.499081857638962,1
0.102,-0.186338422830269,0.215033813480543,1
0.123,-0.241913040165611,0.0174351740659911,1
0.144,-0.186338422830269,-0.106063975568104,1
0.167,-0.038139443269354,-0.167813550385152,1
0.188,0.147109281181791,-0.24191304016561,1
0.208,0.221208770962248,-0.340712359872886,1
0.228,0.147109281181791,-0.50126125439721,1
0.249,-0.038139443269354,-0.686509978848354,1
0.269,-0.223388167720496,-0.847058873372678,1
0.291,-0.316012529946068,-0.908808448189726,0.882
0.311,-0.316012529946068,-0.908808448189726,0.063
0.314,NaN,NaN,NaN
