Time,X,Y,P
0,-0.376994589528831,0.347730169337095,0.015
0.011,-0.376994589528831,0.358550627223115,0.325
0.011,-0.376994589528831,0.358550627223115,0.325
0.027,-0.393225276357861,0.336909711451075,0.813
0.044,-0.409455963186891,0.239525590476896,0.978
0.065,-0.409455963186891,0.0339368906425173,1
0.083,-0.393225276357861,-0.160831351305842,1
0.095,-0.360763902699801,-0.193292724963901,1
0.112,-0.295841155383682,-0.171651809191862,1
0.128,-0.182226347580473,-0.0418063145596223,1
0.144,-0.0848422266062936,0.0663982643005771,1
0.163,0.0125418943678859,0.109680095844657,1
0.183,0.0936953285130361,0.0339368906425173,1
0.195,0.109926015342065,-0.0742676882176821,1
0.211,0.142387389000125,-0.225754098621961,1
0.229,0.174848762658185,-0.36642005114022,1
0.247,0.239771509974305,-0.43134279845634,1
0.261,0.304694257290424,-0.38806096691226,1
0.278,0.418309065093634,-0.269035930166041,1
0.295,0.580615933383932,-0.0742676882176821,1
0.313,0.726692114845202,0.163782385274757,0.62
0.33,0.85653760947744,0.347730169337095,0.022
0.334,NaN,NaN,NaN
