Time,X,Y,P
0,0.109391074463931,0.363068584063079,0.011
0.023,0.109391074463931,0.363068584063079,0.118
0.023,0.109391074463931,0.363068584063079,0.118
0.039,0.0835136159885922,0.363068584063079,0.132
0.054,0.00588124056257728,0.276810389145284,0.149
0.073,-0.123506051814114,0.173300555243931,0.181
0.09,-0.227015885715468,0.0352874433754599,0.206
0.106,-0.330525719616821,-0.11997730747657,0.233
0.122,-0.382280636567497,-0.257990419345039,0.259
0.138,-0.408158095042835,-0.413255170197069,0.298
0.154,-0.382280636567497,-0.534016643081981,0.331
0.174,-0.252893344190805,-0.654778115966893,0.368
0.19,-0.149383510289452,-0.70653303291757,0.392
0.206,0.00588124056257728,-0.654778115966893,0.415
0.222,0.187023449889945,-0.499513365114863,0.437
0.239,0.316410742266637,-0.257990419345039,0.466
0.257,0.41992057616799,0.0525390823590187,0.503
0.273,0.41992057616799,0.259558750161725,0.536
0.289,0.368165659217314,0.397571862030196,0.544
0.304,0.238778366840622,0.50108169593155,0.517
0.32,0.0576361575132539,0.50108169593155,0.36
0.339,-0.175260968764791,0.449326778980873,0.001
0.34,NaN,NaN,NaN
